;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
;-4;-4;4;-7;-8;-16;-8;-7;-4;-4;-8;0;-15;-7;4
;-11;56;-18;-7;-12;-14;-9;-3;59;55;-12;59;-12;-3;-17
;40;-5;-16;-23;-5;-13;-12;-16;-2;65;-9;67;-68;2;-15
;41;-9;-19;42;54;-13;-13;25;-4;77;53;71;-66;-6;-16
;62;11;-17;22;65;-12;-16;56;-6;87;71;89;-7;-23;-18
;68;-7;-19;21;68;52;49;76;-27;105;63;109;18;-21;-14
;81;-7;-22;22;69;19;66;93;-18;106;49;109;41;-22;-10
;83;-3;-14;23;72;54;69;104;-15;111;-23;108;63;-23;-12
;92;-9;-16;14;71;55;93;115;6;104;-26;106;64;-22;-8
;91;-13;-12;15;81;74;98;119;31;113;-25;32;77;-25;-13
;89;-13;-32;9;78;80;99;121;32;151;-27;4;91;-19;46
;95;-15;-30;-35;85;80;99;141;29;138;-14;-10;94;14;19
;120;-26;-34;-18;87;64;124;157;64;139;-10;-10;103;20;19
;137;-18;-35;-12;88;81;131;174;77;149;-17;-14;101;-11;26
;141;0;-36;-12;118;80;135;182;79;145;-10;-7;109;-6;37
;168;22;-34;-10;122;80;136;187;79;170;3;-4;109;9;53
;174;46;-27;-11;131;101;135;198;84;182;2;-11;109;26;73
;194;49;-30;-9;152;115;137;203;90;198;-20;-8;114;36;66
;200;58;4;20;154;123;133;209;92;207;-18;-13;124;-9;20
;186;77;3;26;144;131;140;207;95;224;-18;-15;119;-10;29
;207;109;11;59;170;154;161;215;111;223;16;-20;123;-11;21
;217;102;-9;76;109;175;162;212;144;232;36;-16;152;-6;-5
;225;111;-14;67;131;176;188;215;150;240;53;-55;155;-14;-14
;224;104;51;65;146;177;203;217;163;239;52;-58;148;-20;-18
;214;103;45;67;148;173;200;220;164;252;58;-54;157;-14;-18
;218;112;0;65;158;185;214;223;169;254;93;-16;152;-15;-20
;240;120;-4;84;155;182;230;224;171;252;95;12;150;-19;-21
;246;128;25;97;152;187;236;225;169;254;97;5;160;-14;-71
;242;132;29;97;156;187;244;229;176;257;108;26;167;2;-10
;249;140;47;114;174;198;245;232;176;257;112;26;168;-19;-15
;248;139;56;118;181;202;249;235;184;259;112;29;170;-18;-14
;259;144;59;119;185;206;252;220;186;261;108;26;174;-14;-9
;266;144;63;129;189;205;251;224;183;266;111;22;177;-13;-7
;265;146;83;132;193;144;248;220;185;269;121;32;167;-10;-7
;267;146;82;134;193;144;256;235;190;271;122;30;169;-12;-6
;269;204;81;142;198;147;242;220;189;264;127;-22;180;-10;-6
;269;203;103;140;197;149;240;235;242;264;123;39;175;20;47
;269;204;107;146;194;154;242;219;5251;261;132;41;182;14;52
;266;203;100;143;200;158;239;235;5250;268;134;38;181;58;87




























































